ticker,weight
ABNB,-0.011568940357090525
ABT,-0.00805889009735225
ACN,-0.011087596076035789
ADBE,-0.008845880743027234
ADI,0.009910800282298732
ADP,-0.007971503720502003
ADSK,-0.009300258974510268
ALB,0.010303826820753056
ALGN,0.006640938065583405
AMAT,0.00879238561173787
APP,0.009958608605582574
APTV,0.009106724161102656
ARES,-0.013581290707901142
AXON,-0.011644761473882343
BAX,-0.014307365562729898
BIIB,0.012568545597660699
BKNG,-0.010583671730502947
BR,-0.0080439310482878
BSX,-0.007024094803576077
BX,-0.013173872318390371
C,0.010133580368903878
CAH,0.01554232149864748
CAT,0.0098747447844521
CEG,-0.00895400543363445
CHRW,0.011009606121611558
CIEN,0.010094643963480325
CMI,0.010165841391542042
COHR,0.008905507254733226
COIN,-0.01623382869773939
CRM,-0.008316958221274817
CRWD,-0.009322769185418706
CSGP,-0.009918004808939111
CTSH,-0.009997924136882235
DASH,-0.011313024269181283
DDOG,-0.008590356321887808
DELL,-0.012054173767465684
DVA,0.013573568817398938
ECHO,0.010155041568139827
EFX,-0.012352874028991372
FDS,-0.009386445906978154
FICO,0.010339803047219277
FIX,0.00975333606068521
GDDY,-0.009698684714051886
GLW,0.009685708151336984
GOOG,0.012733171686632617
GOOGL,0.012616915927664256
GRMN,-0.011565488013946542
HAL,0.014101068357872639
HPQ,-0.011470001301585092
HUM,-0.009494435650378472
IBM,0.010552286694073309
INTC,0.00881551701611241
INTU,-0.007596612723793751
IT,-0.011650062311812238
JBHT,0.010369860482394919
KEY,0.010699531165863982
KKR,-0.013329500208116931
KLAC,0.008475846971994569
LDOS,-0.009416726257994694
LII,0.007420410028662054
LITE,0.010020855175377399
LLY,0.013282090042401076
LRCX,0.007299347681891014
LUV,0.007199665086715681
MAR,0.010781034651848938
MPWR,0.00860954473493352
MRNA,0.006571368162688317
MSFT,-0.007143937196723792
MU,0.009348716667223781
NFLX,-0.006474554758321225
NOW,-0.009006367314825065
NTAP,-0.010995450455828532
NXPI,0.008622389731449756
ON,0.00755472204634203
ORCL,-0.0082036949970622
PANW,-0.008895149700494154
PAYX,-0.00835141043047535
PLTR,-0.010577842562699013
PTC,-0.008708129350322655
PYPL,-0.011011861267669875
ROL,0.013276389922122545
ROP,-0.008197040880516739
SMCI,-0.017094842787589378
SNDK,0.0055556933149565925
STX,0.012613441721585659
TER,0.0067932797175477965
TFC,0.010560275370283426
TSLA,0.010651596928139299
TYL,-0.009129885181460837
UPS,0.011063380127243515
VEEV,-0.009308855083857736
VRSK,-0.006932453834744497
VTRS,0.011157663252319075
WBD,0.012639955569182022
WDAY,-0.008749919534819867
WDC,0.010092752449026634
YUM,0.01400569714258112
ZBRA,-0.0153646710887278
